Student_ID,Specialization,CGPA,Programming_Skill_Score,Communication_Skill_Score,Certifications_Count,Internship_Experience,Projects_Completed,DSA_Platform_Rating,Placement_Training_Attended,Soft_Skills_Score,Curriculum_Coverage_Percent,Industry_Demand_Score,Curriculum_Industry_Alignment_Score,Skill_Gap_Label
CSE2027070,Cloud Computing,6.93,43,50,2,No,7,1390,No,34,69,55,89.84,Yes
CSE2027071,Core CSE,6.89,81,95,6,Yes,8,1746,No,54,73,73,100,No
CSE2027072,Cyber Security,7.64,86,36,1,No,8,1068,No,92,47,51,96.04,No
CSE2027073,AI & ML,8.12,60,50,2,Yes,8,1635,Yes,44,69,57,89.69,No
CSE2027074,AI & ML,6.16,67,95,5,No,6,1788,No,88,75,59,87.95,No
CSE2027075,Cloud Computing,9.46,95,47,6,Yes,4,1649,No,64,92,50,70.05,No
CSE2027076,Cyber Security,6.78,92,49,3,No,5,1480,No,71,95,62,67.25,No
CSE2027077,IoT,6.53,79,59,6,No,0,1451,No,78,64,92,74.33,No
CSE2027078,Core CSE,8.3,49,93,0,Yes,8,2008,No,86,46,83,64.33,No
CSE2027079,Data Science,5.57,48,82,6,Yes,1,1761,No,80,81,55,75.54,Yes
CSE2027080,AI & ML,9.17,98,78,2,No,8,873,Yes,66,54,97,72.65,No
CSE2027081,Core CSE,9.71,42,86,1,No,0,894,No,67,62,73,91.5,Yes
CSE2027082,Cloud Computing,6.55,82,53,1,Yes,1,2048,No,60,71,87,89.48,No
CSE2027083,Core CSE,7.48,62,88,2,Yes,7,1389,Yes,86,100,72,72.14,No
CSE2027084,Core CSE,6.79,84,62,3,No,3,1587,No,60,64,86,83.64,No
CSE2027085,Cloud Computing,6.77,67,32,6,No,4,816,Yes,93,93,68,77.24,Yes
CSE2027086,IoT,6.49,75,58,5,Yes,4,2188,Yes,42,97,90,93.99,No
CSE2027087,Data Science,6.83,86,34,4,No,2,984,No,83,51,62,92.82,Yes
CSE2027088,Data Science,7.82,76,97,4,No,2,1326,No,73,91,57,73.23,No
CSE2027089,Data Science,5.82,58,80,6,No,1,1608,Yes,98,47,79,76.08,No
CSE2027090,Cyber Security,8.72,63,78,6,No,1,2182,Yes,33,79,85,95.61,No
CSE2027091,Core CSE,8.12,38,89,5,No,6,1038,Yes,34,59,81,85.78,Yes
CSE2027092,Cloud Computing,6.51,98,47,3,No,5,2173,No,49,96,76,82.76,No
CSE2027093,AI & ML,9.08,82,65,0,No,3,1708,No,76,46,93,64.89,No
CSE2027094,Core CSE,9.38,75,37,3,No,3,1050,No,57,81,90,92.45,Yes
CSE2027095,Cloud Computing,5.59,72,61,1,Yes,1,1935,Yes,57,92,64,79.52,Yes
CSE2027096,AI & ML,6.13,30,65,6,Yes,2,1906,No,44,82,51,79.77,Yes
CSE2027097,IoT,7.04,60,71,0,Yes,4,907,Yes,83,73,57,85.63,Yes
CSE2027098,Cloud Computing,7.55,76,95,4,Yes,7,1831,Yes,35,86,100,86.51,No
CSE2027099,Cyber Security,8.33,68,88,5,Yes,0,1780,No,43,71,95,76.87,No
CSE2027100,Cloud Computing,5.82,40,71,4,Yes,1,1058,No,100,85,70,88.71,Yes
CSE2027101,Cyber Security,8.07,67,88,4,No,1,1034,Yes,87,96,64,75.5,Yes
CSE2027102,IoT,9.06,81,83,5,Yes,5,1674,No,62,63,59,96.5,No
CSE2027103,Cloud Computing,7.54,41,40,0,No,1,1563,Yes,37,77,85,93.4,Yes
CSE2027104,Data Science,8.38,82,75,6,No,0,1389,No,43,76,82,95.89,No
CSE2027105,Cyber Security,8.32,58,43,2,No,1,1370,Yes,33,78,92,86.96,Yes
CSE2027106,AI & ML,6.65,53,64,5,No,5,1518,Yes,48,76,92,87.83,Yes
CSE2027107,Data Science,6.11,33,41,5,Yes,6,1659,No,50,63,69,94.67,Yes
CSE2027108,Data Science,8.84,40,36,1,Yes,0,2180,Yes,86,82,77,96.03,Yes
CSE2027109,Data Science,7.4,64,57,6,Yes,5,1680,Yes,92,73,92,86.26,No
CSE2027110,Data Science,6.45,37,30,1,No,3,1081,No,71,47,50,97.6,Yes
CSE2027111,Core CSE,7.35,46,78,4,Yes,8,1944,No,80,95,97,98.77,No
CSE2027112,Data Science,5.58,39,70,4,No,6,2111,No,44,65,51,86.19,Yes
CSE2027113,Cloud Computing,6.24,88,76,0,No,1,1298,No,81,73,55,86.35,Yes
CSE2027114,Cloud Computing,6.83,73,58,2,Yes,1,1845,Yes,95,52,99,65.23,No
CSE2027115,Cloud Computing,8.63,48,60,0,Yes,4,1204,Yes,49,88,98,91.38,Yes
CSE2027116,AI & ML,6.26,93,89,6,No,5,2084,No,86,44,80,72.03,No
CSE2027117,Core CSE,6.8,65,37,2,Yes,4,1745,No,37,63,68,96.85,Yes
CSE2027118,Cloud Computing,9.22,41,94,3,No,8,884,No,54,60,88,77.87,Yes
CSE2027119,Core CSE,6.15,37,87,0,No,1,1833,Yes,61,85,78,93.03,Yes
CSE2027120,IoT,7.75,50,76,2,No,6,1637,No,36,90,90,100,Yes
CSE2027121,Cloud Computing,5.78,42,79,2,No,2,1482,Yes,48,98,72,81.17,Yes
CSE2027122,IoT,8.32,80,46,4,Yes,4,1944,No,72,92,58,70.49,No
CSE2027123,Data Science,9.06,97,41,5,No,8,1541,Yes,69,51,63,91.16,No
CSE2027124,Cloud Computing,8.79,54,58,1,Yes,1,1405,Yes,99,93,97,96.19,No
CSE2027125,IoT,5.66,73,46,4,No,2,1132,Yes,51,86,78,95.06,Yes
CSE2027126,Data Science,7.07,60,86,4,No,7,1279,Yes,90,97,62,73.85,No
CSE2027127,AI & ML,9.57,86,89,6,No,6,1829,No,55,91,88,98.03,No
CSE2027128,Core CSE,6.58,91,77,4,Yes,8,1055,No,50,57,78,79.8,No
CSE2027129,Core CSE,6.13,85,41,1,No,5,854,No,80,72,73,99.31,Yes
CSE2027130,AI & ML,9.78,77,58,0,No,1,2131,No,47,42,68,74.86,No
CSE2027131,AI & ML,7.53,47,90,3,Yes,1,838,No,49,75,96,82.29,Yes
CSE2027132,IoT,7.32,66,60,2,Yes,0,1288,No,88,44,57,87.85,Yes
CSE2027133,Core CSE,7.65,98,32,5,Yes,2,1396,No,75,55,86,76.23,No
CSE2027134,Cyber Security,8.36,40,97,2,Yes,8,1914,Yes,90,42,90,63.77,No
CSE2027135,Cloud Computing,7.11,32,75,6,Yes,5,1293,Yes,72,48,52,97.04,Yes
CSE2027136,IoT,6.96,52,89,5,No,2,1076,Yes,88,42,68,82.3,Yes
CSE2027137,Core CSE,8.9,35,70,2,No,8,1769,No,54,58,72,86.77,Yes
CSE2027138,Cyber Security,5.71,72,64,0,No,6,1619,No,73,51,81,73.7,Yes
CSE2027139,Cloud Computing,7.08,96,64,6,Yes,6,961,No,53,74,68,95.63,No
CSE2027140,Cyber Security,5.84,67,69,3,No,2,1709,No,35,86,72,88.16,Yes
CSE2027141,Core CSE,7.37,37,39,5,No,5,1850,Yes,48,94,88,94.77,Yes
CSE2027142,Cloud Computing,7.38,46,38,1,No,5,1584,Yes,49,83,78,95.1,Yes
CSE2027143,AI & ML,7.1,39,47,4,No,6,1443,No,44,41,97,62.23,Yes
CSE2027144,IoT,7.73,45,63,6,No,7,1239,No,92,52,57,96.73,No
CSE2027145,Data Science,5.82,52,86,0,No,5,932,No,50,85,95,90.29,Yes
CSE2027146,Cyber Security,8.24,76,95,1,Yes,3,1084,Yes,33,63,85,81.76,Yes
CSE2027147,IoT,7.51,100,46,4,Yes,1,1433,No,91,73,76,97.28,No
CSE2027148,AI & ML,9.04,39,46,2,Yes,7,1754,No,100,80,87,95.29,No
CSE2027149,Data Science,9.65,85,94,6,Yes,1,1861,Yes,51,50,70,80.52,No
CSE2027150,AI & ML,6.47,96,66,6,Yes,4,1202,No,68,79,84,96.81,No
